objectid,subject,format,filename,date,title,NTEEC,NAICS,legal_title,ADSTREET,PHSTREET,adcity,ADSTATE,ADZIP,ADZIP5,PHCITY,PHSTATE,PHZIP,PHZIP5,PHONE,WEBURL,TAXPER15,INCOMECD15,INCOME15,REVENUE15,longitude,latitude,AAMREG,LOCALE4,GSTREET,GCITY,GSTATE,GZIP5,
8404800779,History Museums,image/jpg,demo_001.jpg,2000,12TH ARMORED DIVISION MEMORIAL MUSEUM,A54,813410,12TH ARMORED DIVISION MEMORIAL MUSEUM FOUNDATION INC,1289 N 2ND ST,1289 North 2nd Street,ABILENE,TX,79601-5705,79601,,,,,3256776515,HTTP://WWW.12THARMOREDMUSEUM.COM,201312,4,430483,425152,-99.73642,32.4504,5,1,1289 N 2ND ST,ABILENE,TX,79601,
8404800353,Historical Societies,image/jpg,demo_001.jpg,1957,1859 ASHTON VILLA,A82,712120,GALVESTON HISTORICAL FOUNDATION INC,2328 BROADWAY,2328 BROADWAY,GALVESTON,TX,77550,77550,GALVESTON,TX,77550,77550,4097657834,HTTP://WWW.GALVESTONHISTORY.ORG/,201406,7,6974300,6974300,-94.79283,29.30024,5,3,2328 BROADWAY,GALVESTON,TX,77550,
8404800360,General Museums,image/jpg,demo_001.jpg,2000,1940 AIR TERMINAL MUSEUM,,,1940 AIR TERMINAL MUSEUM,8325 TRAVELAIR ST,,HOUSTON,TX,77061-4716,77061,,,,,7134541940,,,,,,-95.28681,29.64801,5,1,8325 TRAVELAIR ST,HOUSTON,TX,77061,
8404801953,History Museums,image/jpg,demo_001.jpg,,1940 AIR TERMINAL MUSEUM,A54,,HOUSTON AERONAUTICAL HERITAGE SOCIETY INC,8325 TRAVELAIR ST,,HOUSTON,TX,77061-4716,77061,,,,,,,201312,4,227010,170032,-95.28681,29.64801,5,1,8325 TRAVELAIR ST,HOUSTON,TX,77061,
8404802028,History Museums,image/jpg,demo_001.jpg,2004,1ST CAVALRY DIVISION MUSEUM,A54,712110,1ST CAVALRY DIVISION ASSOCIATION MUSEUM FOUNDATION,302 N MAIN ST,,COPPERAS COVE,TX,76522-1703,76522,,,,,2545476537,HTTP://1CDA.ORG,201312,1,5572,5572,-97.90159,31.12559,5,2,302 N MAIN ST,COPPERAS COV,TX,76522,
8404801201,General Museums,image/jpg,demo_001.jpg,,4TH INFANTRY DIVISION MUSEUM,A50,,4TH INFANTRY DIVISION MUSEUM,PO BOX 5917,PO BOX 5917,FORT HOOD,TX,76544-0917,76544,FORT HOOD,TX,76544-0917,76544,7195240915,,,,,,-97.76825,31.13225,5,1,PO BOX 5917,FORT HOOD,TX,76544,
8404801239,Historical Societies,image/jpg,demo_001.jpg,1996,761ST TANK BATTALION & ALLIED VETERANS ASSOCIATION,A80,813410,761ST TANK BATTALION & ALLIED VETERANS ASSOC,PO BOX 409,,KILLEEN,TX,76540-0409,76540,,,,,,,201312,0,0,0,-97.72547,31.11949,5,1,PO BOX 409,KILLEEN,TX,76540,
8404800395,General Museums,image/jpg,demo_001.jpg,,A C MCMILLAN AFRICAN AMERICAN MUSEUM,,,A C MCMILLAN AFRICAN AMERICAN MUSEUM,149 N TEXAS ST,149 N TEXAS ST,EMORY,TX,75440,75440,EMORY,TX,75440,75440,9034740083,HTTP://WWW.ACMCMILLANAFRICANAMERICANMUSEUM.ORG/,,,,,-95.765,32.8757,5,4,149 N TEXAS ST,EMORY,TX,75440,
8404800795,Historical Societies,image/jpg,demo_001.jpg,2008,A W PERRY HOMESTEAD MUSEUM SOCIETY,A11,712110,A W PERRY HOMESTEAD MUSEUM SOCIETY,1508 PERRY RD,1509 PERRY RD,CARROLLTON,TX,75011-0302,75011,CARROLLTON,TX,75011-0302,75011,9724666380,HTTP://TIPTOPWEBSITE.COM/MISSING.HTML,201312,0,0,0,-96.89304,32.94724,5,1,1509 PERRY RD,CARROLLTON,TX,75011,
8409501286,General Museums,image/jpg,demo_001.jpg,1961,A.M. AND ALMA FIEDLER MEMORIAL MUSEUM,B42,611310,TEXAS LUTHERAN UNIVERSITY,1000 W COURT ST,,SEGUIN,TX,78155,78155,,,,,,,201405,9,62230425,49880255,-97.98416,29.56956,5,4,1000 W COURT ST,SEGUIN,TX,78155,
8404801829,General Museums,image/jpg,demo_001.jpg,,A.W. PERRY HOMESTEAD MUSEUM,,,A.W. PERRY HOMESTEAD MUSEUM,1509 PERRY RD,,CARROLLTON,TX,75011-0535,75011,,,,,9724666380,HTTP://CITYOFCARROLLTON.COM/INDEX.ASPX?PAGE=2009,,,,,-96.89304,32.94724,5,1,1509 PERRY RD,CARROLLTON,TX,75011,
8409501287,General Museums,image/jpg,demo_001.jpg,1941,ABILENE CHRISTIAN UNIVERSITY MUSEUM,,611310,ABILENE CHRISTIAN UNIVERSITY,1600 CAMPUS COURT,,ABILENE,TX,79699,79699,,,,,,,201405,9,280037073,223798516,-99.71128,32.46643,5,1,ACU BOX 29115,ABILENE,TX,79699,
8404801472,Historical Societies,image/jpg,demo_001.jpg,1979,ABILENE PRESERVATION LEAGUE,A82,,ABILENE PRESERVATION LEAGUE,1174 NORTH 1ST STREET,1174 NORTH 1ST STREET,ABILENE,TX,79604-3451,79604,ABILENE,TX,79604-3451,79604,3256763775,,201405,4,154159,141788,-99.73528,32.4498,5,1,1174 NORTH 1ST STREET,ABILENE,TX,79604,
8404801672,History Museums,image/jpg,demo_001.jpg,1995,ACCOUNTANCY MUSEUM OF THE TEXAS SOCIETY,A54,712110,ACCOUNTANCY MUSEUM OF THE TEXAS SOCIETY OF THE CPAS INC,14651 DALLAS PARKWAY SUITE 700,,DALLAS,TX,75254-7476,75254,,,,,,HTTPS://WWW.TSCPA.ORG/,201205,0,0,0,-96.82361,32.94764,5,1,14651 DALLAS PKWY STE 70,DALLAS,TX,75254,
